,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47
plant20,0,1.3,0,0,0,3.17,5.28,0,1,0,3.17,0,81.32,0,0,1,8,1,45.31,99,1,13,4,1,8,0,0,10.25,1,0,0,0,0,1,0,113.2,0,1,0,1,4.73,2,13,0,39.87,73.86,0
plant21,0,0,0,2,0,4.61,12.06,0,5,0,1.09,1,0,0,0,0,8.99,1,18.53,47,0,2,6,0,5,0,0,0,6,0,0,0,1,5,0,77.19,0,2,0,1,0,0,10,1,38.33,13.1,1
plant22,0,12.42,0,4,0,4.33,0,0,1,0,0,0,0,0,0,0,15,1,2,175,0,10,9.35,1,2,11.34,0,3.68,5,0,3,1,0,3,0,65.14,0,0,0,3,0,4,2,0,42.89,35.27,1
plant23,0,0.71,0,0,0,3.37,0.43,0,1,0,0.01,0,5.29,0,0,0,4,2,19,73,0,4,5,0,9,6.01,0,4.2,4,0,2,0,0,1,0,61.23,0,3,22.04,6,15.74,7,8,1,55.32,0,0
plant24,0,0,0,1,0,3.9,5.23,0,2,0,0,0,0,0.07,0,1,17,1,22,49,0,2,6,0,11,0,0,0,0,0.57,0,0,0,4,5.25,71.09,0,0,0,1,0,1,12,0,30.91,13.14,0
plant25,0.86,0,0,0,0,2.29,0,0,1,0,0,0,0,5.9,0,0,3,0,9.7,51,0,4,8.73,0,10,0,0,6.46,0,1.74,0,0,0,4,0,27.4,0,0,0,2,0,1,6,1,32.78,0,0
plant26,0,0,0,0,0,0,0,0,2,0,0.65,0,0,0.57,0,0,5,0,21.88,45,0,8,7.74,1,16,0,0,2.47,3,0,3,0,0,5,0,49.48,0,0,0,4,0,1,11,0,49.96,0,0
plant27,0,1.61,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,2,0,7,30,0,0,2.85,0,2,16.8,0,4.67,0,0,0,0,0,3,0,52.54,0,1,0,5,31.53,1,0,0,17.65,10.92,0
plant28,0,0,0,0,0,2.25,0,0,3,0,0,0,0.01,0,0,0,2,1,21.6,51,0,3,5.72,0,40,11.51,0,1.63,2,1.9,0,0,0,3,0,31.52,0,1,0,1,15.19,4,1,0,37.92,0,0
plant29,0,0,0,0,0,3.99,0,2.14,0,0,7.05,0,32.21,0,0,1,7,2,0,142,0,5,2.28,0,11,0,0,4.43,2,0,0,0,1,3,0,63.99,0,0,0,4,20.51,1,7,0,43.63,61.08,0
plant30,0,0,0,0,0,1.43,0,0,0,0,0,0,11.38,0,0,0,2,0,0,31,0,0,5.67,0,7,0,0.42,2,1,0,3,0,0,3,0,46.05,0,0,0,2,14.97,0,4,0,12.85,7.61,0
plant31,0,0,0,0,0,1.2,0,0,7,0,1.06,0,13.43,0,0,0,2,0,0,69,0,5,7.2,0,9,19.67,0,1.49,1,0,0,0,0,0,0,56.56,0,1,0,1,0,3,3,1,54.34,0,0
plant32,0,0,0,0,0,0,0.49,0,2,0,14.08,0,0,0,0,0,9,0,8,51,0,1,7,0,22,0,0,0,2,4.03,2,0,1,2,0,52.01,0,1,0,6,8.71,5,5,0,20.48,1.3,0
plant33,1.19,0,0,0,0,1,0,0,1,0,0,0,0.67,3.97,0,1,7,0,0,121,0,3,3,0,15,33.06,0,3.53,1,13.01,1,1,0,3,0,116.14,0,1,0,5,0,7,5,0,50.46,29.43,1
plant34,0,0,0,0,0,0,0,0,0,0.81,3.95,0,0,3.54,0,0,4,0,16,50,0,5,5,0,20,0,0,1.37,2,0,2,0,0,2,0,48.62,0,1,0,3,0,1,16,0,31.15,17.1,0
plant35,0,1.92,0,2,0,1.87,0,0,6.17,0,2.57,0,5.9,0,0,0,1,0,5,14,0,3,8.87,0,14,19.46,0,3.41,4,0,3,0,0,0,0,51.44,0,1,5.34,6,26.11,8,4,0,33.12,0,0
plant36,0,0,0,0,0,0,5.58,0,3,0,0,0,2.06,8.54,9,1,12,0,35.68,26,0,2,3.7,0,9,27.43,0,2.35,2,0,0,0,0,4,0,58.81,0,0,0,6,0,2,9,0,31.49,7.11,0
plant37,0,0.08,0,0,0,1.46,0,0,4,0,3.98,0,0,5.47,0,1,5,1,27.33,18,0,4,7,0,16,8.76,0,3.14,3,7.99,1.79,1,0,4,0,43.49,0,1,0,3,0,2,13,1,32.38,106.12,0
plant38,0,0,0,0,0,3.09,0.41,0,4,0,0,0,12.83,0,0,0,9.04,1,16.61,117,0,4,8.47,0,20,0,0,0,1,3.08,0,0,0,2,0,69.22,1,1,0,3,0,3,5,1,29.48,12.35,0
plant39,4,0,0,0,0,0,0,0,0,2.53,0,1,0.02,0,0,0,2,0,8,30,0,0,9.72,0,15,0,0,0,1,0,0,0,0,4,0,46.29,0,0,0,3,0,1,0,0,28.74,0,0
plant40,0,0,0,0,0,0,0,0,3,0,2.52,0,0,8.51,5.58,0,36,1,14.34,148,0,4,4,0,19,10.05,0,1.62,3,0.02,0,0,1,2,0,137.39,0,0,2.85,4,0,7,9,0,37.23,21.36,0
plant41,0,2.63,0,0,0,0,1.07,0,3,0,0.91,0,0,0,0,1,8,1,58,12,0,5,7.4,0,25,7.52,0,2.82,1,1.28,0,0,0,3,0,70.56,0,2,4.25,4,0,4,3,0,56.33,0,0
plant42,0,0.64,0,0,0,0,2.04,0,5,0,1.08,1,0,6.14,2.12,0,5,0,0,158,0,5,6.83,0,19,0,0,1,1,0,1,0,0,0,0,72.52,0,0,7.33,6,39.96,4,11,0,19.67,0,0
plant43,0,0,0,0,0,1,25.74,0,1,0,11.05,0,2.13,0,15,1,11,1,2,84,0,3,2.84,0,31,22.61,0,1.25,0,0,0,0,0,4,0,37.08,0,0,0,6,0,3,5,0,27.34,53.64,0
plant44,2.33,0.53,0,1.58,0,0,0,0,2,0,0,1,0,25.04,7,1,16,1,4.1,38,0,5,5.01,0,12,0,0,2.67,8,4.78,0,1,1,0,0,107.53,0,1,5.07,5,0,5,0,0,41.07,19.76,0
plant45,0,2.89,0,1,0,0,0,0,2,6.3,0,0,0,0.94,2.02,0,8,0,14.15,8,0,2,7,1,12,0,0,0,5,0,0,0,0,2,0,55.13,0,0,13.06,3,0,5,7,1,54.74,10.94,0
plant46,0,0,0,0,0,3.1,0,0,4,0,0,0,0,0,0,1,11,0,36.5,39,0,3,5,0,30,28.01,0,0,0,2.94,2.83,0,1,3,0,43.1,0,0,0,1,0,3,8,1,24.17,8.66,1
plant47,0,0.75,0,0,0,3.46,0.17,0,2,0,2.31,0,10.31,0,0,0,10,0,5.66,36,0,3,4,0,23,11.3,0,4.34,0,1.5,1,0,0,3,0,41.89,0,0,9.09,7,0,7,9,1,25.49,42.99,0
plant48,0,0,0,3,0,2,4.89,0,3,0,20.27,0,19.94,9.01,6.69,0,12.34,1,20.08,42,0,3,5.2,0,12,8.78,0,5.22,4,7.79,0,0,0,2,0,53.69,0,1,17.98,5,0,6,10,0,52.98,0,0
plant49,0.97,3.37,0,0,0,1.6,0,0,5,6.18,1.12,0,8.85,7.19,0,0,7,0,22.29,17,0,5,10,0,6,11.06,0,6.59,1,0.02,2,1,0,4,0,48.12,0,0,0,3,0,5,5,0,33.53,0,1
plant50,2.44,0,0,0,0,1.14,0.01,0,4,0,0.23,0,27.61,0,0,1,6,0,30,34,0,4,4.28,0,13,0,0,3.52,1,0,0,0,1,5,0,69.86,1,0,10.75,4,0,2,8.16,1,48.62,9.24,0
plant51,1.49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19,0,0,641,0,0,4,0,0,0,0,3.27,1,0,0,1,0,0,1.33,460.72,0,0,0,1,147.72,6,5,0,21.28,20.63,0
plant52,3.13,0,0,0,0,0,0,1.39,4,0,14.35,0,0,0,0,0,3,1,4.97,26,0,5,1.42,0,18,7.3,0,4.85,0,0,0,0,2,4,0,20.46,0,1,0,3,0,0,4,1,29.66,14.46,0
plant53,3.37,0,0,4,0,2.17,0.92,0,2,0,7.15,0,29.22,0,0,0,9,0,21.23,26,0,5,11,2,20,0,0,6.06,1,0,2.67,0,1,15,0,58.7,0,2,0,1,0,5,8,0,58.41,9.37,0
plant54,0,0,0,0,0,2.76,4.01,0,2,0,0,0,0,0,0,0,1,0,0.4,23,0,5,4,0,21,0,0,1,1,13.62,2,0,0,3,0,33.46,0,2,9.17,2,0,1,9,2,46.15,0,0
plant55,0,0,0,3,0,0,0,0,4,0,0,0,0.01,0,0,0,10,0,6.27,77,0,7,5.78,1,35,11.51,0,1.31,1,2.76,0,0,1,3,0,53.85,0,0,8.89,5,0,3,9,0,35.1,46.58,0
plant56,0,0,0,0,0,0,2.03,0,4,0.15,5.36,0,0.12,0,0,0,0,0,0,34,0,0,6,1,12,19.55,0,3.02,1,0,0,0,2,7,2.92,52.33,1,1,12.72,5,41.97,1,12,0,32.56,13.15,1
plant57,0,0,0,0,0,2.2,0,0,7,0,0,2,10.57,0,0,0,20.33,1,2,488,0,1,7,0,2,0,0,2.5,0,4.24,1,1,1,0,0.41,166.68,0,1,0,0,93.01,5,10,0,19.23,0,0
plant58,0,0.71,0,1,0,0,0,0,6,0,0,1,0,0,10.17,0,9,0,20,30,0,1,4.76,0,4,0,0,5,4,4.4,0,1,0,3,0,76.14,0,0,0,0,0,0,11.69,0,16.97,0,0
plant59,0,0,0,1,0,0,1.48,0,5,0,7.64,0,0,0,0,0,11,1,22.5,32,0,5,5.8,1,16,16.67,0,1.94,2,12.31,5,1,0,1,15.45,46.5,0,0,5.2,2,0,2,8,0,39.35,0,0
plant60,0.4,0,0,0,0,4.24,0.01,0,0,0,2.16,1,57.68,3.48,0,0,3,0,0,33,0,4,6.31,0,18,4.81,0,1,1,0,0,1,0,5,0,21.2,0,0,17.2,3,0,5,21,0,28.11,14.63,0
plant61,0,0,0,2,0,1.34,0,0,4,0,8.85,0,33.14,0,0,0,7,0,0,9,0,7,9.18,0,14,6.95,0,2,0,0,0,0,1,4,3.43,56.19,0,0,0,2,0,1,14,1,39.1,23.74,0
plant62,0,3.83,0,1,0,0,0.36,0,1,0,0.43,0,0,0,0,0,3,0,4.9,27,0,3,4.76,0,14,0,0,0,1,0,2,0,0,5,0,32.76,0,0,0,4,0,2,4,0,44.87,0,0
plant63,0,1.4,0,1,0,5.28,0,0,3,0,0.03,0,8.79,0,0,0,0,0,4,119,0,5,8,1,5,19.67,0,2.67,2,0,0,0,0,1,0,97.1,0,1,0,2,0,5,13,0,22.45,0,0
plant64,0,0,0,1.57,0,1.19,0.07,0,1,0,10.66,0,18.26,5.74,5.72,0,6,0,4,78,0,4,3.7,0,10,0,0,6.85,1,8.91,0,0,0,1,0,73.11,0,0,13.63,1,11.11,2,9.65,0,22.64,14.01,0
plant65,0,17.4,0,0,0,2.45,0,0,1,0,7.53,0,25.5,0,0,0,7,0,13,27,0,2,5,0,2,7.09,0,2.16,7,1.17,0,0,0,4,0,59.54,0,1,7.71,2,0,2,4,0,13.03,0,0
plant66,0,0,0,0,0,0,0.17,0,0,0,0,0,5.07,0,0,0,2,0,8.96,66,0,2,9,1,11,0,0,3.37,0,2.37,0,0,2,3,0,38.07,0,0,0,3,0,5,5,1,40.3,0,0
plant67,0,0.3,0,0,0,0,18.21,0,0,0,0,0,0,0,0,0,3,0,1,87,0,4,6,0,12,9.07,5.29,0,2,0,1,0,0,1,0,27.5,0,0,0,4,9.74,5,0,2,31.07,0,0
plant68,0,0,0,0,0,0,13.37,0,7,0,0,2,0,0,0,0,20,0,0,131,0,10,5.8,2,9,9.78,0,3.77,2,1.59,2,0,5,8,0,106.76,0,0,0,5,55.81,4,13,1,33.34,18.91,0
plant69,0,0,0,1,0,0,4.35,0,1,0,8.7,0,0,0,0,0,7,0,4,125,0,3,10.41,0,12,6.76,0,2.12,2,0,0,0,3,2,3.91,68.77,0,0,0,3,10.2,1,4,0,53.57,38.93,0
plant70,0,2.27,0,0,0,3.5,12.64,0,2,0,0,0,6.25,0,0,1,8,1,8,46,0,3,1.32,0,11,6.68,0,3.24,0,0,1,0,0,3,0,45.04,0,0,10.86,1,2.16,7,8,0,41.38,0,0
plant71,0,0,0,0,0,1.27,0,0,2,0,0,0,0,0,0,0,3,0,6,19,0,2,5.66,0,9,0,0,0,1,0,0,0,1,4,0,55.18,0,0,0,3,0,0,6,0,21.6,0,0
plant72,0,0,0,5,0,0,0,0,4,0,3.4,0,0,0,4.15,0,12,1,0,27,0,5,6.49,2,21,6.72,0,1.36,5,9.43,2,0,0,5,0,68.95,0,0,0,3,0,4,7,0,39.12,68.84,0
plant73,0,0,0,0,0,1.22,1.99,0,0,0,0.62,0,0,11.12,0,0,7,0,0,39,0,5,4,0,8,7.58,0,7,1,2.02,0,0,0,1,0,40.64,0,1,0,2,0,4,7.01,1,21.02,0,0
plant74,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,9,0,0,86,1,5,5.5,0,27,11.99,0,4.13,4,0,0,0,0,1,0,86.12,0,1,6.94,2,43.1,7,6,0,25.89,0,0
plant75,0,0,0,0,0,0,0.28,0,2,0,10.09,0,0,0,0,0,0,0,4,47,0,15,0,0,29,0,0,7.7,2,0,0,0,1,9,0,42.25,0,0,0,2,0,3,10,0,29.96,0,0
plant76,0,0,0,2,0,0.6,8.09,0,1,0,39.23,0,5.29,10.3,8.36,0,8.08,6,9,139,0,2,9.81,0,18,0,0,9.23,4,0,1.38,0,0,2,0,75.95,0,0,20.25,1,0,6,6,0,34.24,13.03,0
plant77,0,0,0,0,0,1,0,0,5,4.83,0,0,0,0,10.78,0,3,0,0,49,0,8,3.06,0,9,0,0,7.37,1,0,2,0,0,4,0,45.37,0,2,0,3,0,1,15,0,24.09,12.08,0
plant78,0,0.61,0,0,0,0,0,0,0,0,11.47,0,0,0,0,0,3,0,1,63,0,2,3.37,0,5,0,0,2.6,1,9.92,0,0,0,5,6.53,44.79,0,0,0,0,0,1,1,0,26.34,0,0
plant79,0,0,0,1,0,0,0,0,1,0,0.29,0,4.38,0,2.53,0,9,1,15.88,18,0,4,4,0,8,0,0,2,0,0,0,0,0,3,0,37.95,0,0,28.47,3,0,1,7,0,38.6,15.17,1
plant80,0.77,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21,1,3,126,0,3,5,0,8,4.43,0,2,0,0,0,0,0,2,0,86.79,0,0,0,4,15.5,0,2,0,28.76,16.42,0
plant81,0,5.39,0,0,0,0,15.75,0,3,0,8.79,0,0,0,0,0,3,1,10,21,0,6,4,0,8,6.98,0,1.8,3,0,3,0,0,3,0,64.74,0,0,1.79,5,0,3,6,0,37.36,25.97,0
plant82,1.37,0.04,0,0,0,0,13.85,0,3,0,19.87,0,8.26,3.48,2.72,0,12,1,26.5,46,2,2,7.74,0,21,24.11,0,5.46,3,0,3,0,0,4,0,47.04,0,1,0,2,0,1,11,0,54.69,19.56,0
plant83,0,0.01,0,1,0,0,1.19,0,3,0,0.03,0,6.04,0,0.43,0,5,1,21.59,102,0,2,4,0,10,7.55,0,0,1,0,2,0,1,2,0,67.91,0,2,0,7,9.64,3,2,0,34.85,10.92,0
plant84,0,0,0,0,0,1.28,0.11,0,3,0,0,0,37.59,0,0,0,9,0,7,56,0,5,7,0,15,0,0,3.12,1,0,1,0,0,2,0,23.12,0,0,0,1,17.98,0,7,0,33.04,14.7,1
plant85,0,0.09,0,0.99,0,1.87,0,0,5,2.19,0.77,0,0,0,2.23,2,8,0,0,187,0,8,6,0,6,0,0,2.2,2,6.54,0,0,0,1,0,83.23,0,0,0,2,10.32,2,12,0,27.34,23.31,0
plant86,0,1.95,0,0,0,0,0,0,4,0,0,0,19.64,0,0,0,5,3,4.65,55,0,6,2.44,0,12,0,0,2.78,0,3.14,3,1,0,4,0,52.91,0,1,0,3,0,2,12.03,0,41.73,46.54,0
plant87,0,0.51,0,0,0,3.6,1.85,0.82,6,0,0.55,0,0.08,0,0,1,11,1,14.46,30,0,1,4.76,0,12,9.34,0,0,3,15.2,2,0,1,3,6.18,54.55,0,0,5.56,1,14.32,0,9,0,19.14,8.88,0
plant88,0,0,0,1,0,0,0,0,1,0,10.13,0,6.02,0,0,0,4,1,4,63,1,5,4.06,0,24,0,0,11.83,1,0,0,0,0,4,0,46.66,0,0,0.17,7,2.42,2,1,0,26.52,0,0
plant89,0,0,0,0,0,0,3.15,0,1,0.08,0,0,6.4,0.79,0,0,5,0,0,10,0,1,5,0,12,0,0,1.52,3,0,0,0,0,6,0,29.62,0,1,0,3,15.34,3,8,0,29.11,28.81,0
plant90,0,0,0,3,0,0,0,0,2,1.72,2.34,0,40.34,0,0,0,3,2,0,47,0,5,1.79,1,14,0,0,0,2,0,0,1,0,3,0,41.73,0,1,6.83,2,0,2,10,0,27.04,0,0
plant91,0,6.03,0,0,0,5.07,0.46,0,0,0,0,0,0,0,0,0,1,0,1,23,0,5,6.71,0,19,0,0,5.2,1,0,1,0,0,1,21.12,27.63,0,2,0,1,0,0,3,2,41.69,31.25,1
plant92,0,0,0,0,0,0,0,0,1,0,0.17,0,28.74,0,0,0,7,0,21.53,11,0,6,3,0,14,0,0,7,0,0,0,0,0,3,0,23.51,0,0,0,6,0,3,1,0,53.6,16.05,0
plant93,1.8,0,0,2,0,2.04,5.94,0,4,0,3.4,0,17.14,2,3,0,2,1,0,17,0,6,3.7,0,10,12.15,0,1.66,1,0,0,0,1,6,0,22.07,0,0,9.03,3,0,5,4,0,44.93,0,0
plant94,0,1.84,0,3,0,3.1,0,0,1,0,0,0,15.15,0,5.52,0,30,0,17,162,0,4,9.88,0,18,9.52,0.47,1.79,3,0,0,0,0,3,0,84.38,0,0,0,3,45.03,3,14,0,35.6,15.07,0
plant95,0,0,0,1,0,3.56,0,0,0,0,0.77,0,29.01,0,0,0,6,1,0,104,0,6,3,0,7,0,0,1.79,0,0,0,0,0,2,0,72.48,0,0,0,2,0,1,6,1,28.18,6.58,0
plant96,0,0,0,0,0,0.35,0,0,5,0,0.13,0,5.36,0,0,0,5,0,0,32,1,9,5,0,22,0,0,1,4,0,0,0,0,3,0,36.54,0,1,0,6,9.3,0,4,0,23.22,0,0
plant97,0,0,0,3,0,0,0,0,4,0,0,0,37.87,0,0,0,8,0,1,100,0,2,4.51,0,6,0,0,3.63,1,0,0,0,1,2,0,98.07,0,0,22.89,3,5.16,5,9.45,0,20.09,0,0
plant98,0,0,0,1,0,1,0,0,0,0,4.18,0,10.7,8.7,2,0,1,0,25,19,0,4,3,1,20,5.49,0,8.74,5,5.38,0,1,0,6.01,0,13.98,0,0,3.28,1,0,3,9,0,33.08,0,1
plant99,0,0,0,0,0,1.98,9.75,0,1,0,3.1,0,21.84,0,0,1,6.19,0,29.21,38,0,4,2.6,0,12,13.75,0,0,3,12.31,2,0,0,6,0,42.53,0,0,7.6,4,0,3,6,2,39.45,0,0
plant100,0,0,0,0,0,0,0.01,0,3,0,0,2,0,0,0,0,23,1,16.92,64,0,2,8,0,14,9.1,0,2.33,1,0.08,4,0,0,6,0,62.04,0,1,9.53,5,0,1,12,0,35.05,24.44,0
